flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00189_20240513155350,15:53:50,2024-05-13,PFA-00183,PSA-00195,PSF-00189,0.000000,0.000000,0.000000,430.868622,103.667740,0.759398,47.873894

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,238.047485,6992.402832
0.010000,336.005341,6992.402832
0.020000,378.916382,6992.402832
0.030000,398.972870,6992.402832
0.040000,409.391296,6992.402832
0.050000,415.445221,6992.402832
0.060000,419.359436,6992.402832
0.070000,422.140350,6992.402832
0.080000,424.206024,6992.402832
0.090000,425.789246,6992.402832
0.100000,427.075256,6992.402832
0.110000,428.051239,6992.402832
0.120000,428.856598,6992.402832
0.130000,429.449554,6992.402832
0.140000,429.888733,6992.402832
0.150000,430.227386,6992.402832
0.160000,430.490601,6992.402832
0.170000,430.642609,6992.402832
0.180000,430.753479,6992.402832
0.190000,430.841095,6992.402832
0.200000,430.868622,6992.402832
0.210000,430.765625,6992.402832
0.220000,430.652252,6992.402832
0.230000,430.500275,6992.402832
0.240000,430.397644,6992.402832
0.250000,430.307495,6992.402832
0.260000,430.225616,6992.402832
0.270000,430.128326,6992.402832
0.280000,430.018890,6992.402832
0.290000,429.876923,6992.402832
0.300000,429.761780,6992.402832
0.310000,429.586182,6992.402832
0.320000,429.427734,6992.402832
0.330000,429.263947,6992.402832
0.340000,429.086578,6992.402832
0.350000,428.931702,6992.402832
0.360000,428.770782,6992.402832
0.370000,428.602325,6992.402832
0.380000,428.369171,6992.402832
0.390000,428.124176,6992.402832
0.400000,427.843811,6992.402832
0.410000,427.574860,6992.402832
0.420000,427.339203,6992.402832
0.430000,427.161469,6992.402832
0.440000,427.020203,6992.402832
0.450000,426.896820,6992.402832
0.460000,426.798462,6992.402832
0.470000,426.715149,6992.402832
0.480000,426.623230,6992.402832
0.490000,426.520599,6992.402832
0.500000,426.412933,6992.402832
0.510000,426.260956,6992.402832
0.520000,426.141144,6992.402832
0.530000,426.029205,6992.402832
0.540000,425.954468,6992.402832
0.550000,425.870789,6992.402832
0.560000,425.752045,6992.402832
0.570000,425.659790,6992.402832
0.580000,425.547119,6992.402832
0.590000,425.490967,6992.402832
0.600000,425.474182,6992.402832
0.610000,425.426605,6992.402832
0.620000,425.400482,6992.402832
0.630000,425.352936,6992.402832
0.640000,425.300354,6992.402832
0.650000,425.238129,6992.402832
0.660000,425.164093,6992.402832
0.670000,425.122253,6992.402832
0.680000,425.040375,6992.402832
0.690000,424.977051,6992.402832
0.700000,424.932709,6992.402832
0.710000,424.837585,6992.402832
0.720000,424.793243,6992.402832
0.730000,424.717072,6992.402832
0.740000,424.636597,6992.402832
0.750000,424.555420,6992.402832
0.760000,424.467438,6992.402832
0.770000,424.383759,6992.402832
0.780000,424.320831,6992.402832
0.790000,424.263947,6992.402832
