Trait,Formula,Model,AIC,Singular,R2_marginal,R2_conditional,P_Value
LMA,log(trait) ~ log(nitrogen),Random Intercept + Slope,-82.40851753688847,TRUE,0.2072369598658856,0.3882196702517037,0.009747602888973512
LDMC,log(trait) ~ log(nitrogen),Random Intercept,-100.79619788511492,FALSE,0.0967545437866783,0.7472237041475788,3.9573120958178643e-8
LDMC,log(trait) ~ log(nitrogen),Random Slope,-85.0422442810256,FALSE,0.12376062525004163,0.8412294235813389,0.49429511920553126
LDMC,log(trait) ~ log(nitrogen),Random Intercept + Slope,-98.54863111390904,TRUE,0.01774726758145652,0.7172337305603514,0.5630741112658153
CHL,log(trait) ~ log(nitrogen),Random Intercept,9.198915041084735,FALSE,0.3813704396239727,0.4407320165833729,2.8785869673175775e-12
CHL,log(trait) ~ log(nitrogen),Random Slope,-0.3080324806415611,FALSE,0.2640220861012388,0.45217149218850766,0.13723333861967307
CHL,log(trait) ~ log(nitrogen),Random Intercept + Slope,-2.87793801660354,FALSE,0.5433456714684217,0.7700387131293701,0.2044346658334968
area_cm2,log(trait) ~ log(nitrogen),Random Intercept,45.612332882305225,FALSE,0.6458154632617202,0.8900891333716838,4.69798621364485e-41
area_cm2,log(trait) ~ log(nitrogen),Random Slope,65.7519065463166,FALSE,0.14661121122258208,0.8171907623724212,0.44755367347678604
area_cm2,log(trait) ~ log(nitrogen),Random Intercept + Slope,49.39253536644539,TRUE,0.6304267185573464,0.8823877750888832,0.08428850798935732
GRT,log(trait) ~ log(nitrogen),Random Intercept,163.8191690574085,FALSE,0.5866644965161482,0.7232527850510717,6.224910787419772e-25
GRT,log(trait) ~ log(nitrogen),Random Slope,186.3710472570877,FALSE,0.6792745221718176,0.7728341455817513,0.02531348032085412
GRT,log(trait) ~ log(nitrogen),Random Intercept + Slope,165.71726727742688,TRUE,0.5293158481774276,0.7014659039089317,0.006100365949626546
LMA,sqrt(trait) ~ nitrogen,Random Intercept,-59.80401703531504,FALSE,0.10440604495004856,0.24501966383379561,4.545931476382131e-4
LMA,sqrt(trait) ~ nitrogen,Random Slope,-54.47429032635827,FALSE,0.10905019781968052,0.19880814893836873,0.029439603812715074
LMA,sqrt(trait) ~ nitrogen,Random Intercept + Slope,-55.88076736785709,TRUE,0.1031882981154892,0.24499325623971158,0.0010497556779917134
LDMC,sqrt(trait) ~ nitrogen,Random Intercept,250.9309532227909,FALSE,0.039764999905054194,0.6850133626691207,7.868126046181563e-4
LDMC,sqrt(trait) ~ nitrogen,Random Slope,275.80809476052093,FALSE,0.005595557750081273,0.5450991932331729,0.7564081081850893
LDMC,sqrt(trait) ~ nitrogen,Random Intercept + Slope,254.86473142431234,TRUE,0.03758344033092057,0.6835753854556974,0.002798712144166143
CHL,sqrt(trait) ~ nitrogen,Random Intercept,218.33189894897478,FALSE,0.24968660167686665,0.2932082133723561,8.439538657721967e-8
CHL,sqrt(trait) ~ nitrogen,Random Slope,215.94393938136557,FALSE,0.2221500755159438,0.2964931503368732,0.004025362072743991
CHL,sqrt(trait) ~ nitrogen,Random Intercept + Slope,219.2619555881561,FALSE,0.21070593199251114,0.2959684694655692,0.06745137355031908
area_cm2,sqrt(trait) ~ nitrogen,Random Intercept,602.772831134273,FALSE,0.2365159489037119,0.5342296069164837,4.512788944129048e-10
area_cm2,sqrt(trait) ~ nitrogen,Random Slope,592.8570735664252,FALSE,0.1668158454894697,0.5406281140721944,0.10363608881227643
area_cm2,sqrt(trait) ~ nitrogen,Random Intercept + Slope,596.59781893684,TRUE,0.17577751029747649,0.5473066307368054,0.09549777441599541
GRT,sqrt(trait) ~ nitrogen,Random Intercept,-290.8559980887352,FALSE,0.1786481704070395,0.4915088396896164,9.254506270757477e-8
GRT,sqrt(trait) ~ nitrogen,Random Slope,-271.5675278375603,FALSE,0.23585289644914578,0.39440581147415804,0.016970168455410294
GRT,sqrt(trait) ~ nitrogen,Random Intercept + Slope,-289.76320691776044,TRUE,0.14750706757400425,0.4972355337951526,0.03260317159440732
