Trait,Formula,Model,AIC,Singular,R2_marginal,R2_conditional,P_Value
LMA,trait ~ sqrt(nitrogen),Random Slope,211.32221994283017,FALSE,0.1854278794093753,0.2990993830272708,0.0019103650306035063
LMA,trait ~ sqrt(nitrogen),Random Intercept + Slope,213.61470166460592,TRUE,0.18496333275037563,0.3132907506350056,8.05774475784988e-6
LDMC,trait ~ sqrt(nitrogen),Random Intercept,846.5653361519845,FALSE,0.06640851059779214,0.7322289784709853,4.956979509414177e-6
LDMC,trait ~ sqrt(nitrogen),Random Slope,857.9377372133517,FALSE,0.01677630528069462,0.6631851527383767,0.5100534318073701
LDMC,trait ~ sqrt(nitrogen),Random Intercept + Slope,850.4702614005536,TRUE,0.06161879553692953,0.7293839686038287,7.556897070151052e-4
CHL,trait ~ sqrt(nitrogen),Random Intercept,675.4936783446265,FALSE,0.33975235886496574,0.4281226794135963,3.3271879249886666e-11
CHL,trait ~ sqrt(nitrogen),Random Slope,672.9686704692331,FALSE,0.3044568379167207,0.41442399041723293,2.9876890847855625e-4
CHL,trait ~ sqrt(nitrogen),Random Intercept + Slope,674.8543361443968,FALSE,0.287838114740135,0.42638768137099087,0.06222873822362495
area_cm2,trait ~ sqrt(nitrogen),Random Intercept,1302.4791454524072,FALSE,0.2958858436913268,0.6934011149378579,1.5754588563754573e-15
area_cm2,trait ~ sqrt(nitrogen),Random Slope,1288.2441819065589,FALSE,0.21346484285936046,0.7003168960361231,0.04431018092108338
area_cm2,trait ~ sqrt(nitrogen),Random Intercept + Slope,1292.0184283671097,TRUE,0.2016481594467913,0.696612378850795,0.09076980748160758
GRT,trait ~ sqrt(nitrogen),Random Intercept,-484.6154683264085,FALSE,0.14797650645531504,0.5074077367168002,6.5775325237891e-7
GRT,trait ~ sqrt(nitrogen),Random Slope,-478.4789745369169,FALSE,0.21922480906956385,0.505358014004511,0.015045448424358844
GRT,trait ~ sqrt(nitrogen),Random Intercept + Slope,-480.61591424578813,TRUE,0.1473822720593278,0.5072164961549694,7.677105908100985e-7
LMA,sqrt(trait) ~ sqrt(nitrogen),Random Intercept,-68.22928100512401,FALSE,0.1688206880848753,0.31131118846496175,5.420744208896517e-6
LMA,sqrt(trait) ~ sqrt(nitrogen),Random Slope,-66.22491728969075,FALSE,0.16921716940716805,0.2950212922549951,0.0035002032808626733
LMA,sqrt(trait) ~ sqrt(nitrogen),Random Intercept + Slope,-64.28453864257479,TRUE,0.1693571463723307,0.31192931317506256,1.2731701061316058e-5
LDMC,sqrt(trait) ~ sqrt(nitrogen),Random Intercept,241.52087860899596,FALSE,0.06808749538774227,0.7227720519637796,5.448742878297266e-6
LDMC,sqrt(trait) ~ sqrt(nitrogen),Random Slope,251.1516130072626,FALSE,0.017725165245076474,0.6583376884680456,0.4976277775088693
LDMC,sqrt(trait) ~ sqrt(nitrogen),Random Intercept + Slope,245.25668202374882,TRUE,0.05994340500982828,0.7182247388706211,0.007407735362945595
CHL,sqrt(trait) ~ sqrt(nitrogen),Random Intercept,202.68507850108676,FALSE,0.3533084073561415,0.41956566429687947,2.1117856852671463e-11
