Model,AIC,R2_Marginal,R2_Conditional
Intercept Only,-429.10875128716395,0,NA
LDMC Only,-446.190210095229,0.1785761730800196,NA
LDMC + LMA,-445.2412474515097,0.18742861229648597,NA
LDMC + LMA + CHL,-463.7740602851544,0.342447052509633,NA
Random Intercept,-496.4867810831993,0.20795986576445868,0.7765576553210763
Random Slope,-502.1029154185917,0.0622472002159146,0.9628536768607594
Random Slope + Intercept,-502.1029154185917,0.0622472002159146,0.9628536768607594
