LDMC_trans,LMA_trans,CHL_trans,grt_trans,Model,AIC,R2,Singular_fit
inv_sqrt,inv_sqrt,log,cub,Random Intercept,-1309.7134218777703,0.7331049153180608,FALSE
inv,sqrt,inv,cub,Random Intercept,-1309.4851743448382,0.6750087573076253,FALSE
inv_sqrt,inv,sqrt,cub,Random Intercept,-1309.1165075572908,0.7493979390138313,FALSE
inv,log,sqrt,cub,Random Intercept,-1308.6314520095896,0.7522396699845505,FALSE
inv_sqrt,log,inv_sqrt,cub,Random Intercept,-1308.4778592296173,0.7007302574147385,FALSE
inv_sqrt,inv_sqrt,sqrt,cub,Random Intercept,-1308.4309809247527,0.7427794550152772,FALSE
inv,sqrt,log,cub,Random Intercept,-1308.392856171159,0.7222710166762475,FALSE
inv,inv,just,cub,Random Intercept,-1308.2733080044331,0.774625765563849,FALSE
inv,inv_sqrt,just,cub,Random Intercept,-1307.5113355210126,0.7685515971231868,FALSE
inv,sqrt,sqrt,cub,Random Intercept,-1307.26888812088,0.7351791964463412,FALSE
inv_sqrt,log,inv,cub,Random Intercept,-1307.2358729066152,0.6786383088459615,FALSE
inv_sqrt,sqrt,inv_sqrt,cub,Random Intercept,-1307.151250557676,0.67716085024000106,FALSE
just,inv_sqrt,sqrt,cub,Random Slope,-1307.0909524884182,0.5859397334469529,FALSE
just,inv_sqrt,sqrt,cub,Random Slope + Intercept,-1307.0909524884182,0.5859397334469529,FALSE
inv,just,inv_sqrt,cub,Random Intercept,-1306.4831509406188,0.6730344303621232,FALSE
log,inv,inv_sqrt,cub,Random Intercept,-1306.4607426339928,0.6951882293600984,FALSE
just,log,inv_sqrt,cub,Random Slope,-1305.9306304320621,0.7372780418295379,FALSE
just,log,inv_sqrt,cub,Random Slope + Intercept,-1305.9306304320621,0.7372780418295379,FALSE
inv_sqrt,log,log,cub,Random Intercept,-1305.8996695722933,0.7191603902255508,FALSE
inv_sqrt,sqrt,inv,cub,Random Intercept,-1305.861462668664,0.6510338138686248,FALSE
log,inv_sqrt,inv_sqrt,cub,Random Intercept,-1305.7386433607319,0.6849454164832237,FALSE
log,inv,inv,cub,Random Intercept,-1305.4277018697649,0.6791159418423902,FALSE
inv,just,inv,cub,Random Intercept,-1305.1245375778942,0.6431114150744893,FALSE
inv_sqrt,log,sqrt,cub,Random Intercept,-1304.6742888389103,0.7303750368155165,FALSE
inv_sqrt,sqrt,log,cub,Random Intercept,-1304.6398066851348,0.6989179263670723,FALSE
log,inv_sqrt,inv,cub,Random Intercept,-1304.6134721033093,0.665998882275267,FALSE
inv,just,log,cub,Random Intercept,-1304.0750397348454,0.6980111150550561,FALSE
inv_sqrt,inv,just,cub,Random Intercept,-1304.065281342422,0.7536998760253544,FALSE
log,inv,log,cub,Random Intercept,-1303.68386993622,0.7091567663049675,FALSE
inv,log,just,cub,Random Intercept,-1303.6531599692535,0.7574654193897091,FALSE
inv_sqrt,sqrt,sqrt,cub,Random Intercept,-1303.470996729254,0.7121372559647448,FALSE
inv_sqrt,inv_sqrt,just,cub,Random Intercept,-1303.3995617514174,0.7475076295046722,FALSE
log,inv_sqrt,log,cub,Random Intercept,-1303.0428571286816,0.7010454668504794,FALSE
inv,just,sqrt,cub,Random Intercept,-1303.0006495853843,0.7131838591228363,FALSE
inv_sqrt,just,inv_sqrt,cub,Random Intercept,-1302.9667534694313,0.6473548891521206,FALSE
sqrt,inv,inv_sqrt,cub,Random Intercept,-1302.774449858511,0.6524922168022063,FALSE
just,log,sqrt,cub,Random Slope,-1302.4494930005546,0.6356809408177386,FALSE
just,log,sqrt,cub,Random Slope + Intercept,-1302.4494930005546,0.6356809408177386,FALSE
inv,sqrt,just,cub,Random Intercept,-1302.3294830927778,0.7413457136981955,FALSE
log,inv,sqrt,cub,Random Intercept,-1302.328063755532,0.7180662310883359,FALSE
