LDMC_trans,LMA_trans,CHL_trans,grt_trans,Model,AIC,R2,Singular_fit
inv,sqrt,inv,cub,Random Slope,-1347.5918876846713,0.9640410470666069,FALSE
inv,sqrt,inv,cub,Random Slope + Intercept,-1347.5918876846713,0.9640410470666069,FALSE
inv,log,inv,cub,Random Slope,-1345.9355538923755,0.9647462952828054,FALSE
inv,log,inv,cub,Random Slope + Intercept,-1345.9355538923755,0.9647462952828054,FALSE
inv,inv,inv,cub,Random Slope,-1344.7269497986879,0.9554376879305881,FALSE
inv,inv,inv,cub,Random Slope + Intercept,-1344.7269497986879,0.9554376879305881,FALSE
inv,just,inv_sqrt,cub,Random Slope,-1343.2865628645388,0.9296704268596465,FALSE
inv,just,inv_sqrt,cub,Random Slope + Intercept,-1343.2865628645388,0.9296704268596465,FALSE
inv_sqrt,just,inv,cub,Random Slope,-1342.7954055401606,0.9746634430071984,FALSE
inv_sqrt,just,inv,cub,Random Slope + Intercept,-1342.7954055401606,0.9746634430071984,FALSE
