flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00189_20240510133822,13:38:22,2024-05-10,PFA-00183,PSA-00195,PSF-00189,0.000000,0.000000,0.000000,447.158936,167.652725,0.625071,29.495533

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,325.732117,6992.402832
0.010000,393.329498,6992.402832
0.020000,407.225494,6992.402832
0.030000,414.693481,6992.402832
0.040000,420.480957,6992.402832
0.050000,425.556793,6992.402832
0.060000,429.954895,6992.402832
0.070000,433.618073,6992.402832
0.080000,436.597473,6992.402832
0.090000,438.969971,6992.402832
0.100000,440.885071,6992.402832
0.110000,442.359924,6992.402832
0.120000,443.520081,6992.402832
0.130000,444.444550,6992.402832
0.140000,445.177673,6992.402832
0.150000,445.738434,6992.402832
0.160000,446.177612,6992.402832
0.170000,446.510559,6992.402832
0.180000,446.750885,6992.402832
0.190000,446.923248,6992.402832
0.200000,447.066650,6992.402832
0.210000,447.108856,6992.402832
0.220000,447.143921,6992.402832
0.230000,447.158936,6992.402832
0.240000,447.118866,6992.402832
0.250000,447.037689,6992.402832
0.260000,446.975830,6992.402832
0.270000,446.873901,6992.402832
0.280000,446.770203,6992.402832
0.290000,446.640717,6992.402832
0.300000,446.508423,6992.402832
0.310000,446.351044,6992.402832
0.320000,446.189056,6992.402832
0.330000,446.039917,6992.402832
0.340000,445.870392,6992.402832
0.350000,445.736633,6992.402832
0.360000,445.556763,6992.402832
0.370000,445.414795,6992.402832
0.380000,445.258148,6992.402832
0.390000,445.105438,6992.402832
0.400000,444.985992,6992.402832
0.410000,444.835785,6992.402832
0.420000,444.733856,6992.402832
0.430000,444.584717,6992.402832
0.440000,444.469574,6992.402832
0.450000,444.327606,6992.402832
0.460000,444.202423,6992.402832
0.470000,444.076172,6992.402832
0.480000,443.941010,6992.402832
0.490000,443.814026,6992.402832
0.500000,443.685638,6992.402832
0.510000,443.556549,6992.402832
0.520000,443.436035,6992.402832
0.530000,443.318726,6992.402832
0.540000,443.194641,6992.402832
0.550000,443.103790,6992.402832
0.560000,442.998291,6992.402832
0.570000,442.888855,6992.402832
0.580000,442.788361,6992.402832
0.590000,442.696106,6992.402832
0.600000,442.602753,6992.402832
0.610000,442.495819,6992.402832
0.620000,442.387817,6992.402832
0.630000,442.291626,6992.402832
0.640000,442.185394,6992.402832
0.650000,442.078125,6992.402832
0.660000,441.975464,6992.402832
0.670000,441.874634,6992.402832
0.680000,441.743011,6992.402832
0.690000,441.615356,6992.402832
0.700000,441.460144,6992.402832
0.710000,441.289551,6992.402832
0.720000,441.147552,6992.402832
0.730000,440.965179,6992.402832
0.740000,440.791382,6992.402832
0.750000,440.595032,6992.402832
0.760000,440.427307,6992.402832
0.770000,440.275299,6992.402832
0.780000,440.107574,6992.402832
0.790000,439.948792,6992.402832
