flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00189_20240510160302,16:03:02,2024-05-10,PFA-00183,PSA-00195,PSF-00189,0.000000,0.000000,0.000000,444.713837,89.871529,0.797912,24.809999

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,211.686737,6992.402832
0.010000,319.147827,6992.402832
0.020000,369.819763,6992.402832
0.030000,394.653076,6992.402832
0.040000,411.405792,6992.402832
0.050000,423.572296,6992.402832
0.060000,431.762695,6992.402832
0.070000,436.915405,6992.402832
0.080000,440.090057,6992.402832
0.090000,442.064514,6992.402832
0.100000,443.276154,6992.402832
0.110000,444.007172,6992.402832
0.120000,444.432007,6992.402832
0.130000,444.640869,6992.402832
0.140000,444.713837,6992.402832
0.150000,444.686646,6992.402832
0.160000,444.560059,6992.402832
0.170000,444.372650,6992.402832
0.180000,444.154510,6992.402832
0.190000,443.875549,6992.402832
0.200000,443.606262,6992.402832
0.210000,443.294037,6992.402832
0.220000,442.963959,6992.402832
0.230000,442.651398,6992.402832
0.240000,442.325958,6992.402832
0.250000,441.981903,6992.402832
0.260000,441.654327,6992.402832
0.270000,441.326752,6992.402832
0.280000,441.005585,6992.402832
0.290000,440.680847,6992.402832
0.300000,440.367218,6992.402832
0.310000,440.037140,6992.402832
0.320000,439.718140,6992.402832
0.330000,439.401611,6992.402832
0.340000,439.078674,6992.402832
0.350000,438.755737,6992.402832
0.360000,438.467499,6992.402832
0.370000,438.161743,6992.402832
0.380000,437.879578,6992.402832
0.390000,437.599548,6992.402832
0.400000,437.334534,6992.402832
0.410000,437.050232,6992.402832
0.420000,436.770905,6992.402832
0.430000,436.532745,6992.402832
0.440000,436.272034,6992.402832
0.450000,436.015259,6992.402832
0.460000,435.791382,6992.402832
0.470000,435.555695,6992.402832
0.480000,435.321442,6992.402832
0.490000,435.097565,6992.402832
0.500000,434.903015,6992.402832
0.510000,434.695251,6992.402832
0.520000,434.491028,6992.402832
0.530000,434.298279,6992.402832
0.540000,434.103027,6992.402832
0.550000,433.914551,6992.402832
0.560000,433.758270,6992.402832
0.570000,433.585175,6992.402832
0.580000,433.423523,6992.402832
0.590000,433.276184,6992.402832
0.600000,433.148865,6992.402832
0.610000,433.005096,6992.402832
0.620000,432.852386,6992.402832
0.630000,432.726501,6992.402832
0.640000,432.601685,6992.402832
0.650000,432.497620,6992.402832
0.660000,432.401062,6992.402832
0.670000,432.268738,6992.402832
0.680000,432.161804,6992.402832
0.690000,432.075256,6992.402832
0.700000,432.003723,6992.402832
0.710000,431.907166,6992.402832
0.720000,431.822418,6992.402832
0.730000,431.754822,6992.402832
0.740000,431.669006,6992.402832
0.750000,431.606781,6992.402832
0.760000,431.546326,6992.402832
0.770000,431.470520,6992.402832
0.780000,431.420441,6992.402832
0.790000,431.371094,6992.402832
