flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00189_20240510161950,16:19:50,2024-05-10,PFA-00183,PSA-00195,PSF-00189,0.000000,0.000000,0.000000,377.323151,111.483696,0.704540,22.251699

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,238.828537,6992.402832
0.010000,325.271484,6992.402832
0.020000,351.627960,6992.402832
0.030000,358.889923,6992.402832
0.040000,362.247345,6992.402832
0.050000,364.921326,6992.402832
0.060000,367.435822,6992.402832
0.070000,369.663849,6992.402832
0.080000,371.558533,6992.402832
0.090000,373.102783,6992.402832
0.100000,374.357330,6992.402832
0.110000,375.270020,6992.402832
0.120000,375.951294,6992.402832
0.130000,376.455200,6992.402832
0.140000,376.773834,6992.402832
0.150000,377.015228,6992.402832
0.160000,377.128967,6992.402832
0.170000,377.231598,6992.402832
0.180000,377.306335,6992.402832
0.190000,377.323151,6992.402832
0.200000,377.298828,6992.402832
0.210000,377.208710,6992.402832
0.220000,377.053131,6992.402832
0.230000,376.931549,6992.402832
0.240000,376.792786,6992.402832
0.250000,376.684784,6992.402832
0.260000,376.600372,6992.402832
0.270000,376.498474,6992.402832
0.280000,376.426208,6992.402832
0.290000,376.332153,6992.402832
0.300000,376.247040,6992.402832
0.310000,376.109009,6992.402832
0.320000,375.964874,6992.402832
0.330000,375.825409,6992.402832
0.340000,375.678406,6992.402832
0.350000,375.473511,6992.402832
0.360000,375.218506,6992.402832
0.370000,375.038635,6992.402832
0.380000,374.893433,6992.402832
0.390000,374.786499,6992.402832
0.400000,374.679199,6992.402832
0.410000,374.568329,6992.402832
0.420000,374.448883,6992.402832
0.430000,374.248260,6992.402832
0.440000,374.065521,6992.402832
0.450000,373.898865,6992.402832
0.460000,373.769775,6992.402832
0.470000,373.674286,6992.402832
0.480000,373.579498,6992.402832
0.490000,373.486176,6992.402832
0.500000,373.364197,6992.402832
0.510000,373.183258,6992.402832
0.520000,373.023041,6992.402832
0.530000,372.868896,6992.402832
0.540000,372.729431,6992.402832
0.550000,372.605316,6992.402832
0.560000,372.486938,6992.402832
0.570000,372.371429,6992.402832
0.580000,372.280243,6992.402832
0.590000,372.179749,6992.402832
0.600000,372.086395,6992.402832
0.610000,371.943726,6992.402832
0.620000,371.837128,6992.402832
0.630000,371.682281,6992.402832
0.640000,371.575348,6992.402832
0.650000,371.466278,6992.402832
0.660000,371.366852,6992.402832
0.670000,371.250275,6992.402832
0.680000,371.153717,6992.402832
0.690000,371.043213,6992.402832
0.700000,370.976685,6992.402832
0.710000,370.877258,6992.402832
0.720000,370.749603,6992.402832
0.730000,370.637665,6992.402832
0.740000,370.545044,6992.402832
0.750000,370.436676,6992.402832
0.760000,370.305054,6992.402832
0.770000,370.173096,6992.402832
0.780000,370.022186,6992.402832
0.790000,369.927063,6992.402832
