"barcodeID","sampleID","species","treatment_mmol","CHL","CAR","ANT","N","PROT","CBC"
24762,"BO_R2_15","B. officinalis",15,21.9274480958505,6.80680601814308,1.05708236476247,2.04559186778011,0.006,0.0126467598438344
24778,"BO_R2_10","B. officinalis",10,36.2486747626139,8.90674007440152,1.42821025438969,1.80574188759975,0.006,0.0112154371919041
24781,"RA_R4_25","H. vulgare",25,44.2236949146728,10.7292709400995,2.48366551433175,1.65224196404905,0.006,0.0110839872636107
24837,"RA_R1_10","H. vulgare",10,49.5553736711521,12.0682539498187,3.17316169338154,1.83802171704136,0.006,0.00882226215114527
24994,"BO_R5_0","B. officinalis",0,16.270569973396,4.46810629926161,0.441696651935659,1.34760437440398,0.006,0.00321001247338006
25315,"BO_R4_30","B. officinalis",30,22.0537889759886,6.53117786788043,0.447747091551503,1.94238104613474,0.006,0.0119034512391495
25506,"BO_R1_20","B. officinalis",20,46.3284801745278,11.047584801391,2.36706550806539,1.70060267064058,0.006,0.00899556579269519
25661,"BO_R1_30","B. officinalis",30,49.3103489047082,12.1414221972483,3.03965620171607,1.68293705897941,0.006,0.0115907881065893
25724,"RA_R2_5","H. vulgare",5,31.9803835878881,8.48465026157545,1.2043689735742,1.61676499980029,0.006,0.011740434890298
25910,"RA_R5_25","H. vulgare",25,46.8972630084869,12.1199556268866,2.55891943336737,1.77497378850136,0.006,0.0134185846894116
26068,"BO_R1_5","B. officinalis",5,39.4166195578168,9.57830240463072,1.80750296142225,2.05710259280837,0.006,0.0136008271624943
26204,"RA_R5_15","H. vulgare",15,50.8976920065424,12.9717842723839,3.37806016459003,1.76343782352941,0.006,0.0114193857850338
26289,"RA_R2_10","H. vulgare",10,40.5883917981546,10.3437070731577,1.50368948311527,1.52858168888945,0.006,0.00947773613498082
26547,"BO_R2_30","B. officinalis",30,55.0246270974233,11.7004626142122,3.40855091200176,1.90888799809233,0.006,0.0114161840515644
26642,"RA_R4_10","H. vulgare",10,46.5727504002064,11.1689957614897,3.0933909338901,1.81346730169799,0.006,0.0131485983410592
26743,"BO_R5_10","B. officinalis",10,48.4772970352842,11.2535839240689,2.83577057497099,1.84605181119472,0.006,0.0139273325402869
26824,"RA_R1_5","H. vulgare",5,34.9639722042529,9.66343389462704,1.09679369338406,1.64197842040396,0.006,0.0102436438133488
27057,"HO_R3_25","R. sativus",25,25.4273864907459,5.69410749869026,0.429931617396194,1.23712685596105,0.006,0.000645051903663418
