barcodeID,sampleID,treatment_mmol,species,dry_whole_g,dry_leaf_g,area_cm2,LDMC,LMA,EWT,gsw,Fs,Fm_prime,Phi_PS2,ETR,Qamb,vpdl
26427,BO_R4_0,0,B. officinalis,0.026,0.011,19.69,139.24,5.58659217877095,34.53529710512951,0.02749,63.046932,259.197601,0.756761,4.00986,13,3.405699
26547,BO_R2_30,30,B. officinalis,2.666,0.277,620.2249999999999,122.3,4.466121165705995,32.05288403401992,0.004155,87.353111,435.850037,0.79958,7.540983,24,2.912463
26642,RA_R4_10,10,H. vulgare,0.888,0.349,965.7779999999999,108.49,3.6136669089583733,29.69626560141151,0.011527,86.128593,412.16217,0.791032,17.898687,57,2.813049
26743,BO_R5_10,10,B. officinalis,2.392,0.334,658.1750000000001,106.98,5.074638204125042,42.35955482964257,0.224565,93.651291,472.567688,0.801825,6.26907,20,2.868305
26824,RA_R1_5,5,H. vulgare,0.37,0.143,417.215,104.76,3.4274894239181237,29.289455077118514,0.019506,98.488213,391.042816,0.74814,13.376707,45,2.862653
27057,HO_R3_25,25,R. sativus,4.112,0.113,288.381,179.65,3.918427358251758,17.892995724406255,-0.004059,103.278282,394.297607,0.73807,13.953961,47,2.987954
27059,BO_R2_25,25,B. officinalis,2.514,0.345,849.9699999999999,106.68,4.058966787063073,33.98943492123252,0.020382,97.608444,468.566193,0.791687,5.80915,18,3.034996
27120,BO_R3_10,10,B. officinalis,1.923,0.293,554.504,123.68,5.2840015581492645,37.43886428231356,0.026024,92.05484,461.96936,0.800734,5.822052,18,3.135565
27375,RA_R5_5,5,H. vulgare,0.354,0.141,407.743,108.96,3.4580605920886436,28.277616047363168,0.37091,82.335594,377.45047,0.781864,20.226339,65,2.962361
27387,RA_R5_20,20,H. vulgare,2.761,0.623,1443.936,104.02,4.314595660749507,37.16231190302063,0.020385,88.656303,421.662933,0.789746,18.695242,59,3.020393
27480,RA_R5_10,10,H. vulgare,0.842,0.34,821.155,123.41,4.140509404436434,29.40979474033526,0.030254,85.225937,402.238007,0.788121,16.174557,51,2.782096
27826,BO_R1_0,0,B. officinalis,0.693,0.129,173.943,166.88,7.4162225556647865,37.0236226809932,0.04177,111.483696,377.323151,0.70454,4.383783,16,3.427623
27901,BO_R2_0,0,B. officinalis,0.057,0.02,36.171,128.21,5.52929142130436,37.59918166486965,0.043008,80.144409,286.589752,0.720351,3.166191,11,3.42495
27967,BO_R4_10,10,B. officinalis,1.358,0.197,516.427,166.39,3.8146727417427826,19.11209135076206,0.428643,106.678963,472.106323,0.774036,5.804922,19,2.736151
28155,BO_R3_20,20,B. officinalis,2.528,0.286,639.108,109.54,4.474987013149577,36.37882799151318,0.037187,81.755875,427.314148,0.808675,5.999113,19,3.004301
28163,BO_R4_35,35,B. officinalis,2.615,0.272,588.12,127.04,4.624906481670408,31.779228728830848,-0.004518,115.796684,429.522156,0.730406,6.879753,24,3.044318
28395,BO_R5_30,30,B. officinalis,2.919,0.354,752.98,107.57,4.701320088182952,39.00502005365348,0.096742,105.922577,491.973633,0.784699,6.188785,20,2.839793
28679,RA_R5_30,30,H. vulgare,0.994,0.343,970.87,107.32,3.5329137783637363,29.386014605456964,0.29635,89.137314,432.031281,0.793679,16.607357,52,2.992502
28762,RA_R4_15,15,H. vulgare,1.3,0.299,924.233,93.97,3.235114954778719,31.193432824839626,0.113673,171.488647,487.335907,0.64811,13.200415,51,2.968978
